Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-02-23,Hollow Coves,See You Soon,New Music Friday AU & NZ,34,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Hollow Coves,See You Soon,Indie Arrivals,23,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Hollow Coves,See You Soon,Coffee + Chill,5,542477,,
2024-02-23,Kaylee Bell,Where Were You,New Music Friday AU & NZ,35,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Kaylee Bell,Where Were You,Fresh Country,14,379422,https://i.scdn.co/image/ab67706f00000003054c35bb8cebaae1f0b032ce,Beyonce
2024-02-23,Emma Donovan,Til My Song is Done,New Music Friday AU & NZ,36,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Emma Donovan,Til My Song is Done,Indie Arrivals,18,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Real Estate,Flowers,New Music Friday AU & NZ,37,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Real Estate,Flowers,Front Left,46,564431,https://i.scdn.co/image/ab67706f00000003649831996ba8dc89611d58a2,Royel Otis
2024-02-23,Real Estate,Flowers,Indie Arrivals,22,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Real Estate,Flowers,Alt Here,3,47676,https://i.scdn.co/image/ab67706f00000003ca321816d4361582042dfa81,Bleachers
2024-02-23,"Curtis Cole, Mkada",I'm So Lit,New Music Friday AU & NZ,38,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Curtis Cole, Mkada",I'm So Lit,Beats n' Bars,15,95083,https://i.scdn.co/image/ab67706f000000037d15ed6ed6837217b59ca4e4,Schoolboy Q
2024-02-23,"Curtis Cole, Mkada",I'm So Lit,The Drip,2,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,CXLOE,No Service,New Music Friday AU & NZ,39,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,CXLOE,No Service,Pop n' Fresh,6,120612,https://i.scdn.co/image/ab67706f0000000372a5f016cdc2b6009bc34590,Aleksiah
2024-02-23,mgk,dont let me go,New Music Friday AU & NZ,40,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Erika de Casier,Test It,New Music Friday AU & NZ,41,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Erika de Casier,Test It,Front Left,19,564431,https://i.scdn.co/image/ab67706f00000003649831996ba8dc89611d58a2,Royel Otis
2024-02-23,Erika de Casier,Test It,Indie Arrivals,10,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,"SiR, Isaiah Rashad",Karma,New Music Friday AU & NZ,42,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"SiR, Isaiah Rashad",Karma,R&B Connect,5,198379,https://i.scdn.co/image/ab67706f000000031873c18d49f70ac328def316,A.GIRL
2024-02-23,LF SYSTEM,All I've Got,New Music Friday AU & NZ,43,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Bugzy Malone,Ladies,New Music Friday AU & NZ,44,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Bugzy Malone,Ladies,The Drip,12,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,"Rudimental, Skepsis, Charlotte Plank, Riko Dan",Green & Gold (feat. Charlotte Plank & Riko Dan),New Music Friday AU & NZ,45,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Rudimental, Skepsis, Charlotte Plank, Riko Dan",Green & Gold (feat. Charlotte Plank & Riko Dan),New Dance Beats,30,139690,https://i.scdn.co/image/ab67706f00000003543c1e3fb9aee7db619d1dff,"Effy, Mall Grab"
2024-02-23,YNG Martyr,SUPERBAD,New Music Friday AU & NZ,46,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,YNG Martyr,SUPERBAD,The Drip,37,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,"Elley Duhé, Whethan",MONEY ON THE DASH,New Music Friday AU & NZ,47,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Elley Duhé, Whethan",MONEY ON THE DASH,Dance Generation,9,411049,https://i.scdn.co/image/ab67706f00000003924d4d3256740f1454caff57,BENNETT
2024-02-23,"Elley Duhé, Whethan",MONEY ON THE DASH,New Dance Beats,2,139690,https://i.scdn.co/image/ab67706f00000003543c1e3fb9aee7db619d1dff,"Effy, Mall Grab"
2024-02-23,BADASSMUTHA,Crocs,New Music Friday AU & NZ,48,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Timmy Trumpet, Captain Curtis",Just A Kid,New Music Friday AU & NZ,49,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Timmy Trumpet, Captain Curtis",Just A Kid,New Dance Beats,12,139690,https://i.scdn.co/image/ab67706f00000003543c1e3fb9aee7db619d1dff,"Effy, Mall Grab"
2024-02-23,GROUPLOVE,Chances,New Music Friday AU & NZ,50,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,IU,Shopper,New Music Friday AU & NZ,51,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Donny Benét,Forbidden Love,New Music Friday AU & NZ,52,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Donny Benét,Forbidden Love,Front Left,32,564431,https://i.scdn.co/image/ab67706f00000003649831996ba8dc89611d58a2,Royel Otis
2024-02-23,Donny Benét,Forbidden Love,Indie Arrivals,14,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Miles Nautu,Third Eye Chakra,New Music Friday AU & NZ,53,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Miles Nautu,Third Eye Chakra,The Drip,13,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,Miles Nautu,Third Eye Chakra,the hybrid,3,26951,https://i.scdn.co/image/ab67706f0000000359400a6ff9489083e71f5074,Miles Nautu
2024-02-23,Tora,Jigglypuff,New Music Friday AU & NZ,54,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Tora,Jigglypuff,New Dance Beats,32,139690,https://i.scdn.co/image/ab67706f00000003543c1e3fb9aee7db619d1dff,"Effy, Mall Grab"
2024-02-23,"Bullion, Panda Bear",A City’s Never,New Music Friday AU & NZ,55,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Bullion, Panda Bear",A City’s Never,Indie Arrivals,32,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,"Bullion, Panda Bear",A City’s Never,Alt Here,18,47676,https://i.scdn.co/image/ab67706f00000003ca321816d4361582042dfa81,Bleachers
2024-02-23,Lady Shaka,E Tu,New Music Friday AU & NZ,56,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Lady Shaka,E Tu,New Dance Beats,17,139690,https://i.scdn.co/image/ab67706f00000003543c1e3fb9aee7db619d1dff,"Effy, Mall Grab"
2024-02-23,Mason Dane,FALLING,New Music Friday AU & NZ,57,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Mason Dane,FALLING,The Drip,34,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,"Lepani, Tamillia",Antidote,New Music Friday AU & NZ,58,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Norah Jones,Staring at the Wall,New Music Friday AU & NZ,59,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Mia Dyson,Dare,New Music Friday AU & NZ,60,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Mia Dyson,Dare,Indie Arrivals,21,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Catfish and the Bottlemen,Showtime,New Music Friday AU & NZ,61,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Catfish and the Bottlemen,Showtime,Rock Out.,12,90337,https://i.scdn.co/image/ab67706f00000003a7246d1c7bcf98801455109d,Kings Of Leon
2024-02-23,Novo Amor,"Same Day, Same Face",New Music Friday AU & NZ,62,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Novo Amor,"Same Day, Same Face",Indie Arrivals,41,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,"Church & AP, deadforest",POSTAL,New Music Friday AU & NZ,63,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,KYE,NOW COME ON NOW,New Music Friday AU & NZ,64,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"SXMPRA, Jasiah",UNTAMED (feat. Jasiah),New Music Friday AU & NZ,65,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Girl and Girl,Hello,New Music Friday AU & NZ,66,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Girl and Girl,Hello,Indie Arrivals,33,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Adrianne Lenker,Fool,New Music Friday AU & NZ,67,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Adrianne Lenker,Fool,Indie Arrivals,34,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Jaguar Jonze,whiplash,New Music Friday AU & NZ,68,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Jaguar Jonze,whiplash,Indie Arrivals,42,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Charlotte Day Wilson,I Don't Love You,New Music Friday AU & NZ,69,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Charlotte Day Wilson,I Don't Love You,Indie Arrivals,40,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,glaive,god is dead,New Music Friday AU & NZ,70,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Hands Like Houses, Emmy Mack",BLOODRUSH,New Music Friday AU & NZ,71,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Hands Like Houses, Emmy Mack",BLOODRUSH,Rock Out.,15,90337,https://i.scdn.co/image/ab67706f00000003a7246d1c7bcf98801455109d,Kings Of Leon
2024-02-23,Glass Beams,Mahal - Edit,New Music Friday AU & NZ,72,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Glass Beams,Mahal - Edit,Indie Arrivals,13,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,0800,TRIPLE IT,New Music Friday AU & NZ,73,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,0800,TRIPLE IT,Beats n' Bars,14,95083,https://i.scdn.co/image/ab67706f000000037d15ed6ed6837217b59ca4e4,Schoolboy Q
2024-02-23,0800,TRIPLE IT,the hybrid,9,26951,https://i.scdn.co/image/ab67706f0000000359400a6ff9489083e71f5074,Miles Nautu
2024-02-23,"Riley Pearce, Liang Lawrence",Indefinitely,New Music Friday AU & NZ,74,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Riley Pearce, Liang Lawrence",Indefinitely,Coffee + Chill,13,542477,,
2024-02-23,Merryn Jeann,THANK GOD! FOR ASTROLOGY!,New Music Friday AU & NZ,75,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Bombay Bicycle Club, Rae Morris",Better Now (feat. Rae Morris),New Music Friday AU & NZ,76,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Bombay Bicycle Club, Rae Morris",Better Now (feat. Rae Morris),Rock Out.,16,90337,https://i.scdn.co/image/ab67706f00000003a7246d1c7bcf98801455109d,Kings Of Leon
2024-02-23,Last Dinosaurs,Keys To Your Civic,New Music Friday AU & NZ,77,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Xavier Rudd,World Order - Part 1,New Music Friday AU & NZ,78,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Julia Pośnik,Every Single Person I Know,New Music Friday AU & NZ,79,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,ShockOne,Alone,New Music Friday AU & NZ,80,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Sara James, LOVA",Blue ft. LOVA,New Music Friday AU & NZ,81,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Sara James, LOVA",Blue ft. LOVA,Pop n' Fresh,33,120612,https://i.scdn.co/image/ab67706f0000000372a5f016cdc2b6009bc34590,Aleksiah
2024-02-23,Lil Spacely,Win,New Music Friday AU & NZ,82,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Lil Spacely,Win,The Drip,9,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,THE BLSSM,sway,New Music Friday AU & NZ,83,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,THE BLSSM,sway,Indie Arrivals,35,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Husky,How to Forget,New Music Friday AU & NZ,84,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Husky,How to Forget,Coffee + Chill,20,542477,,
