DATE,ARTIST_TITLE,SPOTIFY_POS,SPOTIFY_MOVEMENT,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_DAILY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS,ON_TOUR,ACTIVE_PROMO,ARIA_LW,ARIA_TW
2024-01-31,Noah Kahan - Stick Season,1,,118,1,5,341982,-16631,2267792,22709,19335038,,,,
2024-01-31,Jack Harlow - Lovin On Me,2,,83,1,72,306579,-15934,2176118,-20633,26776791,,,,
2024-01-31,Tate McRae - greedy,3,,139,1,9,234101,-10999,1588179,968,31554220,,,,
2024-01-31,"cassö - Prada (w/ RAYE, D-Block Europe)",4,,172,4,,221413,-12025,1499980,24297,27193512,,,,
2024-01-31,Benson Boone - Beautiful Things,5,3,13,5,,216529,23860,1090390,102751,1803614,,,,
2024-01-31,Taylor Swift - Cruel Summer,6,-1,361,1,1,215955,-1651,1478935,15296,50298470,,,,
2024-01-31,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),7,,160,4,,198430,2371,1309979,-1476,26455506,,,,
2024-01-31,Teddy Swims - Lose Control,8,-2,89,6,,188371,-14114,1257355,14982,9130502,,,,
2024-01-31,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",9,2,244,5,,173386,-1443,1186971,16630,30878649,,,,
2024-01-31,Sophie Ellis-Bextor - Murder On The Dancefloor,10,-1,35,4,,172886,-8781,1297401,-29280,4626807,,,,
2024-01-31,Kenya Grace - Strangers,11,3,153,2,11,166829,-3220,1128474,7242,24248427,,,,
2024-01-31,Doja Cat - Paint The Town Red,12,1,181,1,68,164903,-7246,1252742,8024,41557260,,,,
2024-01-31,Dom Dolla - Saving Up,13,-3,64,10,,158245,-20630,1024162,62369,4458228,,,,
2024-01-31,Zach Bryan - Something in the Orange,14,1,599,5,,155529,-975,1050461,-6506,62258325,,,,
2024-01-31,"Ariana Grande - yes, and?",15,-3,20,3,1,155060,-17426,1145474,-33166,3880921,,,,
2024-01-31,Morgan Wallen - Last Night,16,2,366,1,63,145276,3588,995728,-6306,63909312,,,,
2024-01-31,21 Savage - redrum,17,-1,20,15,,142976,-10022,964309,11169,2445221,,,,
2024-01-31,Natasha Bedingfield - Unwritten,18,1,32,14,,141449,-69,967877,-6315,3628974,,,,
2024-01-31,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",19,1,118,8,,134967,-303,918015,3427,15277269,,,,
2024-01-31,Sabrina Carpenter - Feather,20,-3,63,17,,134379,-9660,910472,3743,4726893,,,,
2024-01-31,Tyla - Water,21,,140,4,,128217,-2976,887511,-10017,19555015,,,,
2024-01-31,Dua Lipa - Houdini,22,1,83,7,,124013,-938,833386,-1216,9703474,,,,
2024-01-31,Vance Joy - Riptide,23,1,3380,9,,123000,-949,878931,-9561,135413780,,,,
2024-01-31,Olivia Rodrigo - vampire,24,1,216,1,4,121202,-319,818723,-1679,32577877,,,,
2024-01-31,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",25,2,80,25,,120545,3516,762545,19745,6044418,,,,
2024-01-31,Royel Otis - Murder on the Dance Floor - triple j Like A Version,26,-4,3,21,,119746,-9225,378535,119746,378535,,,,
2024-01-31,The Killers - Mr. Brightside,27,1,3190,10,,114964,3682,771950,4350,152119513,,,,
2024-01-31,Flo Milli - Never Lose Me,28,-2,19,26,,114603,-3582,727081,15874,1655664,,,,
2024-01-31,Tate McRae - exes,29,1,76,16,,108814,-274,725061,-4674,8244535,,,,
2024-01-31,Michael Marcagi - Scared To Start,30,3,19,30,,106875,248,668327,12955,1490830,,,,
2024-01-31,Dua Lipa - Dance The Night (From Barbie The Album),31,,251,3,2,106549,-2085,740415,-5545,31322361,,,,
2024-01-31,David Kushner - Daylight,32,,291,2,30,106178,-916,697131,5804,36778417,,,,
2024-01-31,"JID - Surround Sound (w/ 21 Savage, Baby Tate)",33,2,84,18,,105699,-220,716898,-13725,7739824,,,,
2024-01-31,OneRepublic - I Ain't Worried,34,,606,1,16,102878,-3446,716745,-9081,77461503,,,,
2024-01-31,Post Malone - Chemical,35,1,293,9,,102792,-1762,709305,7207,26929179,,,,
2024-01-31,Troye Sivan - Got Me Started,36,1,131,16,,102717,-571,669585,9253,11083020,,,,
2024-01-31,Luke Combs - Fast Car,37,3,314,3,5,100892,374,711316,-7187,40034060,,,,
2024-01-31,Fred again.. - leavemealone (w/ Baby Keem),38,-9,55,18,,100065,-10065,714188,-11446,5382578,,,,
2024-01-31,Mitski - My Love Mine All Mine,39,-1,134,11,,99472,-3696,669395,972,13644194,,,,
2024-01-31,YG Marley - Praise Jah In The Moonlight,40,-1,19,39,,98056,-2555,625700,19723,1322065,,,,
2024-01-31,Taylor Swift - Anti-Hero,41,1,468,1,32,95378,-291,631745,1904,61747356,,,,
2024-01-31,Ocean Alley - Confidence,42,-1,1047,4,,95063,-638,672923,-9723,50153805,,,,
2024-01-31,Zach Bryan - Heading South,43,3,280,33,,94018,3809,623433,-2504,16628232,,,,
2024-01-31,Lord Huron - The Night We Met,44,3,584,29,,91554,2218,597943,-5395,24835179,,,,
2024-01-31,Paul Russell - Lil Boo Thang,45,-2,120,14,,91115,-1651,641272,-10254,11340320,,,,
2024-01-31,Doja Cat - Agora Hills,46,-1,132,11,,90860,-590,616981,-40,14019898,,,,
2024-01-31,Troye Sivan - Rush,47,-3,201,11,,90120,-1884,603540,12455,16251709,,,,
2024-01-31,Taylor Swift - Is It Over Now? (Taylor's Version) (From The Vault),48,1,97,1,10,88610,1680,588569,-3283,13696433,,,,
2024-01-31,Dave - Sprinter (w/ Central Cee),49,1,245,1,63,88075,1507,590735,-1460,41495459,,,,
2024-01-31,Lewis Capaldi - Someone You Loved,50,3,1821,3,6,84479,2372,533187,-5005,149637243,,,,
2024-01-31,Morgan Wallen - Thinkin’ Bout Me,51,3,332,47,,84343,2923,565885,-3143,18950756,,,,
2024-01-31,Miley Cyrus - Flowers,52,,384,1,40,83140,-6,578753,-11142,65058379,,,,
2024-01-31,"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",53,-2,202,1,6,82651,-2631,561934,-4363,24438114,,,,
2024-01-31,MK - Rhyme Dust (w/ Dom Dolla),54,-6,244,13,,82505,-4996,563867,34718,14156964,,,,
2024-01-31,Fleetwood Mac - Dreams - 2004 Remaster,55,,2043,7,,81738,1217,559760,-4879,114145997,,,,
2024-01-31,Creedence Clearwater Revival - Have You Ever Seen The Rain,56,1,510,39,,80231,1847,580290,-8815,25901427,,,,
2024-01-31,Megan Thee Stallion - HISS,57,-1,4,56,,77376,-2998,292661,77376,292661,,,,
2024-01-31,Harry Styles - As It Was,58,1,671,1,53,77042,-262,516344,-6186,100246831,,,,
2024-01-31,"Drake - One Dance (w/ Wizkid, Kyla)",59,2,1666,1,98,75649,-818,499788,1404,87003559,,,,
2024-01-31,Glass Animals - Heat Waves,60,-2,1280,1,79,75605,-1727,513960,-5359,159928431,,,,
2024-01-31,Zach Bryan - Hey Driver (w/ The War and Treaty),61,1,160,29,,75050,887,510068,-2294,10805549,,,,
2024-01-31,Good Neighbours - Home,62,24,4,62,,73426,8553,245854,73426,245854,,,,
2024-01-31,Flume - Never Be Like You (w/ Kai),63,3,980,1,19,73301,1501,488119,2858,48058637,,,,
2024-01-31,J. Cole - No Role Modelz,64,4,2081,20,,73023,1650,481416,-2071,85881313,,,,
2024-01-31,Peggy Gou - (It Goes Like) Nanana - Edit,65,-5,220,15,,72948,-3547,525888,2985,15966749,,,,
2024-01-31,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),66,3,1926,1,27,72947,1605,485388,-3000,151468539,,,,
2024-01-31,Kanye West - Heartless,67,,615,39,,72912,1350,484874,47,30093849,,,,
2024-01-31,Richy Mitch & The Coal Miners - Evergreen,68,-4,98,64,,72722,157,451423,3102,5009824,,,,
2024-01-31,Morgan Wallen - You Proof,69,1,486,13,,72401,1130,483805,39,31582464,,,,
2024-01-31,SZA - Kill Bill,70,-5,419,1,26,70797,-1529,475458,2452,59154757,,,,
2024-01-31,Dominic Fike - Babydoll,71,2,143,43,,70652,2,456645,2453,8422309,,,,
2024-01-31,Chris Stapleton - You Should Probably Leave,72,3,192,63,,70581,2538,474949,-2076,10200617,,,,
2024-01-31,FISHER - Atmosphere (w/ Kita Alexander),73,-10,149,57,,70298,-2893,481256,7533,8383519,,,,
2024-01-31,Rema - Calm Down (w/ Selena Gomez),74,,507,18,,70294,406,481849,-6247,37284350,,,,
2024-01-31,Frank Ocean - Pink + White,75,-4,495,38,,69437,-1797,470856,-3408,26621069,,,,
2024-01-31,Taylor Swift - Lover,76,-4,362,2,1,69404,-1484,463128,254,23320585,,,,
2024-01-31,"Elton John - Cold Heart - PNAU Remix (w/ Dua Lipa, PNAU)",77,1,900,1,12,69205,2772,480172,-5108,95947092,,,,
2024-01-31,"Timbaland - The Way I Are (w/ Keri Hilson, D.O.E.)",78,6,390,68,,68834,3872,458144,657,16813362,,,,
2024-01-31,Coldplay - Yellow,79,2,1085,23,,67110,1803,454319,573,45954771,,,,
2024-01-31,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),80,-3,522,1,5,66783,272,456541,-4735,55347864,,,,
2024-01-31,The Weeknd - Blinding Lights,81,-5,1520,1,65,66774,36,450296,-5620,144032699,,,,
2024-01-31,Noah Kahan - Dial Drunk (w/ Post Malone),82,8,54,44,,66263,2083,433076,-2676,2879013,,,,
2024-01-31,Justin Bieber - Ghost,83,11,848,8,,66191,3085,422426,3318,62307552,,,,
2024-01-31,Creedence Clearwater Revival - Fortunate Son,84,1,378,59,,66183,1249,459346,-6946,17864987,,,,
2024-01-31,The Weeknd - Starboy (w/ Daft Punk),85,-5,1522,1,83,65796,397,443865,827,83322744,,,,
2024-01-31,Rihanna - We Found Love (w/ Calvin Harris),86,-3,445,17,,65605,368,443812,-4257,19224354,,,,
2024-01-31,Taylor Swift - Don’t Blame Me,87,2,537,12,,65141,512,430876,2896,28537773,,,,
2024-01-31,The Goo Goo Dolls - Iris,88,3,1093,30,,64982,1505,438949,-1159,50971067,,,,
2024-01-31,Dylan Gossett - Coal,89,6,52,81,,64891,2189,426755,-2064,2618335,,,,
2024-01-31,Marvin Gaye - Ain't No Mountain High Enough (w/ Tammi Terrell),90,13,235,64,,64820,4497,431349,-2873,11171658,,,,
2024-01-31,Miley Cyrus - Party In The U.S.A.,91,-12,1910,27,,64692,-1310,461001,-6187,81504392,,,,
2024-01-31,SZA - Snooze,92,-10,407,29,,64524,-742,426588,2340,26858973,,,,
2024-01-31,Luke Combs - The Kind of Love We Make,93,3,594,13,,64245,2368,443373,-4105,47380571,,,,
2024-01-31,Zach Bryan - Dawns (w/ Maggie Rogers),94,-6,175,43,,63901,-734,432531,-2738,9799418,,,,
2024-01-31,The Lumineers - Ophelia,95,4,157,72,,63650,2455,399206,1479,5921354,,,,
2024-01-31,Morgan Wallen - Wasted On You,96,-3,333,71,,63604,337,423581,1367,17518538,,,,
2024-01-31,Taylor Swift - cardigan,97,1,399,1,6,63234,2011,392659,10230,23491215,,,,
2024-01-31,Olivia Rodrigo - Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,98,-11,88,20,,63015,-1854,424748,-3364,6666951,,,,
2024-01-31,OneRepublic - Counting Stars,99,-2,1577,39,,62484,1226,422113,-4488,51015291,,,,
2024-01-31,Tory Lanez - The Color Violet,100,,523,27,,61137,344,399837,462,32319887,,,,
2024-01-31,Fred again.. - adore u (w/ Obongjayar),101,-9,147,29,,60441,-2862,428701,11174,8427163,,,,
2024-01-31,Frank Ocean - Lost,102,5,855,15,,59697,951,404002,-4341,44615947,,,,
2024-01-31,Kanye West - Father Stretch My Hands Pt. 1,103,3,208,51,,59645,181,399504,-1281,7787269,,,,
2024-01-31,Jordan Davis - Buy Dirt (w/ Luke Bryan),104,7,271,92,,59325,1031,407032,-726,12923897,,,,
2024-01-31,blink-182 - All The Small Things,105,13,310,64,,59300,3175,383754,613,13257161,,,,
2024-01-31,Matt Sassari - Give It To Me - Full Vocal Mix,106,3,229,88,,59170,578,398837,-1644,10222069,,,,
2024-01-31,Kings of Leon - Sex on Fire,107,6,1112,55,,59141,1507,398233,-916,46713361,,,,
2024-01-31,Florence + The Machine - Dog Days Are Over,108,-3,291,52,,58649,-905,387553,-2605,13598142,,,,
2024-01-31,Gunna - fukumean,109,-7,220,5,,58179,-2489,407678,-6385,23854478,,,,
2024-01-31,The Police - Every Breath You Take,110,21,152,105,,58165,3777,386454,640,6653619,,,,
2024-01-31,Eminem - Without Me,111,-3,1046,39,,58132,-594,412042,-4332,46313281,,,,
2024-01-31,Kendrick Lamar - All The Stars (w/ SZA),112,11,816,2,13,57991,2830,366641,2676,48776787,,,,
2024-01-31,Ice Spice - Think U The Shit (Fart),113,-12,5,85,,57955,-2785,287851,57955,287851,,,,
2024-01-31,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",114,-2,761,40,,57794,-379,397823,-5158,38206295,,,,
2024-01-31,Avicii - Wake Me Up,115,7,1565,12,,57281,1967,380426,-3346,53506193,,,,
2024-01-31,The Kid LAROI - Stay (w/ Justin Bieber),116,-1,934,1,160,57235,793,390746,-4491,125013991,,,,
2024-01-31,Luke Combs - When It Rains It Pours,117,11,522,23,,57063,2421,402763,-2040,29642980,,,,
2024-01-31,Taylor Swift - Karma,118,-8,338,7,,56984,-1456,377713,-115,24417321,,,,
2024-01-31,Luke Combs - Beautiful Crazy,119,8,506,31,,56757,2096,395546,-2254,25963982,,,,
2024-01-31,Nicki Minaj - FTCU,120,-16,48,45,,56757,-3128,401108,-7686,3197069,,,,
2024-01-31,Kanye West - Runaway (w/ Pusha T),121,-7,80,81,,56712,-288,397496,-1780,4382895,,,,
2024-01-31,Bryan Adams - Summer Of '69,122,7,1666,47,,56267,1668,389105,-4304,62945035,,,,
2024-01-31,Coldplay - Viva La Vida,123,-7,532,24,,56124,-142,387595,-3728,28666034,,,,
2024-01-31,Jessie Murph - Wild Ones (w/ Jelly Roll),124,-4,80,92,,55929,454,378715,-3079,4288332,,,,
2024-01-31,Chris Stapleton - Tennessee Whiskey,125,,241,79,,55800,843,399365,-4788,11587023,,,,
2024-01-31,Tame Impala - The Less I Know The Better,126,8,1584,6,,55410,1354,380328,-4062,52334367,,,,
2024-01-31,Chris Brown - Angel Numbers / Ten Toes,127,-1,41,107,,55211,303,364790,-1281,2051572,,,,
2024-01-31,Linkin Park - In the End,128,7,89,19,,55201,1701,306160,-1011,3892694,,,,
2024-01-31,The Neighbourhood - Sweater Weather,129,-8,1186,20,,55057,-316,369547,609,67035893,,,,
2024-01-31,Imagine Dragons - Demons,130,3,454,40,,54846,702,365614,-4127,7801994,,,,
2024-01-31,5 Seconds of Summer - Youngblood,131,24,1738,1,41,54158,3620,291100,-2301,116875582,,,,
2024-01-31,Tom Odell - Another Love,132,5,775,18,,54125,974,309606,689,47105507,,,,
2024-01-31,Post Malone - Circles,133,-1,1589,2,64,53705,-499,260932,-2886,118803888,,,,
2024-01-31,Dom Dolla - Eat Your Man (w/ Nelly Furtado),134,-10,122,57,,53389,-1644,263216,53389,5960050,,,,
2024-01-31,Morgan Wallen - Spin You Around (1/24),135,9,5,106,,53375,1715,256895,53375,256895,,,,
2024-01-31,Chance Peña - i am not who i was,136,14,10,136,,53285,2510,253439,871,499092,,,,
2024-01-31,Creedence Clearwater Revival - Bad Moon Rising,137,-7,105,85,,53279,-1136,386526,-5717,4759873,,,,
2024-01-31,Eminem - Lose Yourself,138,-2,2401,34,,53019,-284,371160,-3087,66860078,,,,
2024-01-31,Troye Sivan - One Of Your Girls,139,,108,19,,52767,107,299480,3281,7729613,,,,
2024-01-31,Fleetwood Mac - Everywhere - 2017 Remaster,140,12,600,66,,52356,1595,364587,-4034,25248483,,,,
2024-01-31,"21 Savage - née-nah (w/ Travis Scott, Metro Boomin)",141,,20,23,,52271,193,357801,-9100,1412636,,,,
2024-01-31,Drake - Jimmy Cooks (w/ 21 Savage),142,5,585,4,,52239,853,295227,-613,37466737,,,,
2024-01-31,Kanye West - Flashing Lights (w/ Dwele),143,-5,304,87,,52104,-935,354567,-297,14487722,,,,
2024-01-31,"Metro Boomin - Creepin' (w/ The Weeknd, 21 Savage)",144,4,424,2,4,51934,793,348754,-1840,45112783,,,,
2024-01-31,Empire of the Sun - Walking On A Dream,145,1,699,92,,51878,471,370920,-2812,27890199,,,,
2024-01-31,Hozier - Take Me To Church,146,-1,1949,2,45,51798,281,294195,1350,62211124,,,,
2024-01-31,Red Hot Chili Peppers - Can't Stop,147,-4,71,100,,51375,-452,343084,-3039,3334606,,,,
2024-01-31,Miguel - Sure Thing,148,1,479,11,,51095,213,293535,-2152,32021243,,,,
2024-01-31,Sabrina Carpenter - Nonsense,149,-7,271,10,,50753,-1192,299147,-804,13615329,,,,
2024-01-31,Hotel Ugly - Shut up My Moms Calling,150,-10,428,66,,50270,-2251,297175,-285,19789176,,,,
2024-01-31,Taylor Swift - The Man,151,10,98,15,,50149,1123,242447,-1575,5311209,,,,
2024-01-31,Arctic Monkeys - I Wanna Be Yours,152,2,517,63,,50147,-396,302576,-1342,24538182,,,,
2024-01-31,Queen - Crazy Little Thing Called Love - Remastered 2011,153,26,33,141,,49961,2409,285018,2465,1369002,,,,
2024-01-31,Ed Sheeran - Shivers,154,10,868,4,,49923,1102,287144,-1569,81352153,,,,
2024-01-31,Kanye West - Homecoming (w/ Chris Martin),155,12,81,126,,49907,1410,285998,-674,3764185,,,,
2024-01-31,Journey - Don't Stop Believin' (2022 Remaster),156,13,39,51,,49892,1618,352678,-1453,1987156,,,,
2024-01-31,The Weeknd - Die For You,157,-4,644,21,,49818,-735,290279,1506,41005567,,,,
2024-01-31,G Flip - The Worst Person Alive,158,-39,5,55,,49784,-6022,302585,49784,302585,,,,
2024-01-31,Eminem - The Real Slim Shady,159,-8,1001,52,,49632,-1143,364752,-5024,42792745,,,,
2024-01-31,Lewis Capaldi - Before You Go,160,10,1347,9,,49593,1357,275845,-5,82965799,,,,
2024-01-31,Travis Scott - I KNOW ?,161,1,165,16,,49301,373,285023,-1816,9315918,,,,
2024-01-31,Travis Scott - MY EYES,162,-5,58,11,,49145,-447,286383,-887,3268836,,,,
2024-01-31,Taylor Swift - august,163,13,191,12,,49104,1378,188264,49104,10450657,,,,
2024-01-31,Olivia Rodrigo - good 4 u,164,-4,844,1,54,49055,-110,193396,-1116,87838718,,,,
2024-01-31,Bon Jovi - Livin' On A Prayer,165,1,358,75,,49041,481,352852,-2950,13747804,,,,
2024-01-31,Billie Eilish - lovely (w/ Khalid),166,-10,1999,4,,48849,-1117,281017,543,106139095,,,,
2024-01-31,Tracy Chapman - Fast Car,167,22,195,107,,48790,2261,231745,-2985,6546799,,,,
2024-01-31,Drake - IDGAF (w/ Yeat),168,-9,113,5,,48625,-913,283843,-799,8393038,,,,
2024-01-31,Kanye West - Gold Digger (w/ Jamie Foxx),169,11,1262,40,,48353,846,291518,-2517,23595180,,,,
2024-01-31,4batz - act ii: date @ 8,170,11,5,170,,48142,876,183706,48142,229783,,,,
2024-01-31,"Tyler, The Creator - See You Again (w/ Kali Uchis)",171,-8,315,12,,48016,-841,285353,-1523,19745301,,,,
2024-01-31,Tiësto - 10:35 (w/ Tate McRae),172,5,432,12,,47984,330,276391,-690,30713575,,,,
2024-01-31,The Kid LAROI - BLEED,173,-15,69,32,,47906,-1652,195325,47906,4313116,,,,
2024-01-31,The Killers - Somebody Told Me,174,20,13,105,,47898,1587,140746,47898,395059,,,,
2024-01-31,Fleetwood Mac - Go Your Own Way - 2004 Remaster,175,24,1545,50,,47864,1991,334345,-2577,62278713,,,,
2024-01-31,The Beatles - Here Comes The Sun - Remastered 2009,176,-2,54,111,,47854,-15,284300,-2598,2324212,,,,
2024-01-31,RAYE - Escapism. (w/ 070 Shake),177,,404,3,2,47705,,47705,47705,35900728,,,,
2024-01-31,Bryan Martin - We Ride,178,8,57,136,,47690,1024,281898,-5079,2659001,,,,
2024-01-31,Foo Fighters - Everlong,179,3,579,32,,47558,366,231141,-1097,26354139,,,,
2024-01-31,"Metro Boomin - Too Many Nights (w/ Future, Don Toliver)",180,4,293,32,,47540,783,229417,-661,15619181,,,,
2024-01-31,Carly Rae Jepsen - Call Me Maybe,181,-8,281,113,,47409,-476,286733,-3122,11924857,,,,
2024-01-31,Mac Miller - The Spins,182,3,341,100,,47368,624,186756,-549,11804149,,,,
2024-01-31,Noah Kahan - You’re Gonna Go Far,183,-11,13,146,,47332,-588,236290,-4247,627317,,,,
2024-01-31,Taylor Swift - willow,184,,235,1,2,47279,,47279,47279,14072643,,,,
2024-01-31,Lady Gaga - Shallow (w/ Bradley Cooper),185,-2,1792,4,,47259,308,231871,-877,102365947,,,,
2024-01-31,Jet - Are You Gonna Be My Girl,186,,70,88,,47239,,200395,47239,2950352,,,,
2024-01-31,The Kooks - Naive,187,,3,125,,47154,,47154,47154,80150,,,,
2024-01-31,Reneé Rapp - Not My Fault (w/ Megan Thee Stallion),188,-20,3,168,,47152,-1300,143708,47152,143708,,,,
2024-01-31,INXS - Never Tear Us Apart,189,,283,49,,47133,,288650,-2310,11344344,,,,
2024-01-31,Frank Ocean - Thinkin Bout You,190,-15,85,60,,46996,-848,227932,46996,1309036,,,,
2024-01-31,Kendrick Lamar - Money Trees (w/ Jay Rock),191,-3,732,27,,46984,450,190566,-569,35683162,,,,
2024-01-31,Jung Kook - Seven (w/ Latto),192,,186,3,1,46867,,46867,46867,16128845,,,,
2024-01-31,J. Cole - Wet Dreamz,193,,690,74,,46816,,46816,46816,28041483,,,,
2024-01-31,Eminem - Love The Way You Lie (w/ Rihanna),194,6,72,101,,46801,1104,273720,211,3238424,,,,
2024-01-31,Van Morrison - Brown Eyed Girl,195,,976,64,,46760,460,289711,-2046,37913120,,,,
2024-01-31,Jungle - Back On 74,196,-31,34,125,,46609,-2156,198878,46609,1556369,,,,
2024-01-31,3 Doors Down - Kryptonite,197,,16,112,,46587,,154058,-165,639872,,,,
2024-01-31,Taylor Swift - Delicate,198,-5,144,21,,46492,164,138546,46492,8070360,,,,
2024-01-31,Imagine Dragons - Thunder,199,-7,966,6,,46444,96,278973,-5049,54031439,,,,
2024-01-31,50 Cent - In Da Club,200,-3,589,46,,46338,295,280637,-2436,23614435,,,,
